RC0F1		& L'utente deve potersi registrare all'applicativo cloud & Interno UCC1 
RC0F1.1		& Ogni utente deve essere identificato da una email & Interno UCC1.1 
RC0F1.1.1	& La email deve essere di formato valido & Interno UCC1.1 UCC2.1 UCC7.1 
RC0F1.2		& Nella procedura di registrazione ogni utente deve creare una password & Interno UCC1.2 
RC0F1.2.1	& Nella procedura di registrazione l'utente deve confermare la password & Interno UCC1.3 
RC0F1.2.2	& La password deve essere di almeno 6 caratteri & Interno UCC1.2 UCC1.3 UCC2.2 UCC5.1 UCC5.2 UCC5.3 
RC0F1.3		& L'utente deve poter confermare i dati di registrazione & Interno UCC1.4 
RC0F1.4		& L'utente deve visualizzare un messaggio d'errore in caso di errori di inserimento & Interno UCC1.5 UCC2.4 UCC5.5 UCC6.4 UCC7.3 
RC0F2		& L'utente deve poter accedere all'applicativo cloud & Interno UCC2 
RC0F2.1		& L'utente accede con la propria email già registrata & Interno UCC2.1 
RC0F2.2		& L'utente accede con la password associata al proprio account & Interno UCC2.2 
RC0F2.3		& L'utente deve poter confermare i dati di autenticazione & Interno UCC2.3 
RC0F3 		& L'applicazione cloud permette la gestione delle mappe & Interno UCC3 
RC0F3.1		& L'utente deve poter visualizzare l'elenco delle mappe a disposizione & Interno UCC3.1 
RC0F3.1.1	& Ogni mappa ha come nome il nome della località principale contenuta & Interno UCC3.1 
RC0F4 		& L'utente deve poter ricercare delle mappe attraverso una chiave di ricerca & Interno UCC3.2 
RC0F4.1		& Per la ricerca di una mappa l'utente deve poter inserire una chiave di ricerca & Interno UCC3.2.1 
RC0F4.1.1	& Le mappe possono essere ricercate utilizzando il nome della mappa & Interno UCC3.2.1 
RC0F4.2		& L'utente deve poter avviare una ricerca dopo aver inserito una chiave di ricerca & Interno UCC3.2.2 
RC0F5 		& Deve essere presente un elenco delle mappe preferite & Interno UCC3 
RC0F5.1 	& L'utente deve poter visualizzare le mappe preferite & Interno UCC3.6 
RC0F5.1.1	& Ogni mappa preferita ha come nome il nome della località principale contenuta & Interno UCC3.6 
RC0F5.2 	& L'utente deve poter aggiungere una o più mappe alle mappe preferite & Interno UCC3.5 
RC0F5.3		& L'utente deve poter rimuovere una o più mappe dalle mappe preferite & Interno UCC3.7 
RC1F6 		& L'utente deve poter visualizzare le informazioni meteo in riferimento alla mappa desiderata & Interno UCC3.8 
RC1F6.1		& Le informazioni meteo visualizzate riguardano la condizione meteorologica, la temperatura massima e minima, l'intensità e la direzione del vento, la probabilità di precipitazioni e l'orario di tramonto del sole & Interno UCC3.8 
RC0F7 		& Deve essere presente un elenco delle escursioni già effettuate & Interno UCC4 
RC0F7.1		& L'utente deve poter visualizzare l'elenco delle escursioni già effettuate & Interno UCC4.1 
RC0F7.2		& L'utente deve poter selezionare un'escursione già effettuata & Interno UCC4.2 
RC0F7.3		& L'utente deve poter visualizzare tutti i percorsi dell'escursione precedentemente selezionata & Interno UCC4.3 
RC0F7.3.1	& Le informazioni riguardanti un percorso effettuato sono: data dell'esperienza$_{G}$, ora di partenza ed arrivo, chilometri percorsi, tempo impiegato e POI visitati durante l'esperienza$_{G}$ & Interno UCC4.3 
RC1F8		& L'utente deve poter condividere l'escursione precedentemente selezionata su Facebook$_{G}$ & Interno UCC4.4 
RC1F8.1		& Le informazioni che possono essere condivise nel social network sono: data dell'esperienza$_{G}$, ora di partenza ed arrivo, chilometri percorsi, tempo impiegato, POI visitati durante l'esperienza$_{G}$ e mappa del escursione effettuato & Interno UCC4.4 
RC0F9		& L'applicazione cloud deve offrire la possibilità agli utenti di cambiare la propria password & Interno UCC5 
RC0F9.1		& Nella procedura di cambio password l'utente deve inserire la vecchia password & Interno UCC5.1 
RC0F9.2		& Nella procedura di cambio password l'utente deve inserire la nuova password & Interno UCC5.2 
RC0F9.2.1	& Nella procedura di cambio password l'utente deve confermare la nuova password & Interno UCC5.3 
RC0F9.3		& L'utente deve poter confermare i dati inseriti durante la procedura cambio password & Interno UCC5.4 
RC0F10		& L'utente deve poter gestire la registrazione del seriale dello smartwatch & Interno UCC6 
RC0F10.1	& L'utente, per associare lo smartwatch, deve poter inserire un nuovo seriale & Interno UCC6.1 
RC0F10.1.1	& L'utente deve poter confermare il seriale dello smartwatch per completare l'inserimento & Interno UCC6.2 
RC0F10.2	& L'utente deve poter rimuovere il seriale dello smartwatch già presente & Interno UCC6.3 
RC0F11		& E' garantita la possibilità all'utente di recuperare la propria password & Interno UCC7 
RC0F11.1	& Il recupero password deve avvenire tramite l'inserimento di una email registrata nel sistema & Interno UCC7.1 
RC0F11.1.1	& L'utente deve poter confermare i dati inseriti durante la procedura di recupero password & Interno UCC7.2 
RC0F11.2	& L'applicazione cloud deve inviare una email contenente la nuova password & Interno UCC7 
RC0F12		& L'utente deve poter uscire dall'applicativo cloud & Interno UCC8 
RS0F13		& L'utente deve poter scegliere un POI fra quelli del percorso in cui si trova & Capitolato UCS1
RS0F13.1	& L'utente deve poter visualizzare l'elenco dei POI del percorso in cui si trova & Interno UCS1.1 
RS0F13.1.1	& L'elenco dei POI sarà costituito da: rifugi, ristori, luoghi di interesse naturalistico (punti panoramici, cascate, ecc.) & Interno UCS1 
RS0F13.2	& L'utente deve poter selezionare un POI dall'elenco visualizzato & Interno UCS1.2 
RS1F14		& L'utente deve poter visualizzare le informazioni meteo della mappa in uso & Capitolato UCS2 
RS1F14.1	& L'utente deve poter visualizzare un avviso che il meteo risulta non aggiornato & Interno UCS8 
RS1F14.2	& Le informazioni meteo visualizzate riguardano la condizione meteorologica, la temperatura massima e minima, l'intensità e la direzione del vento, la probabilità di precipitazioni e l'orario del tramonto del sole & Interno UCS2 
RS0F15		& L'utente deve poter visualizzare le informazioni di soccorso & Capitolato UCS3 
RS0F15.1	& Le informazioni di soccorso comprendono il numero del soccorso alpino, la posizione geografica in cui si trova l'utente e le indicazioni per chiedere soccorso nel caso non si disponga della rete telefonica (segnali acustici e luminosi) & Interno UCS3 
RS0F16		& L'applicazione smartwatch fornisce un sistema di navigazione, fornendo indicazioni sulla posizione dell’utente, km percorsi e distanza rimanente & Capitolato UCS4 
RS0F17		& L'utente deve poter operare col sistema di navigazione solo dopo aver selezionato un POI & Interno UCS4 
RS0F18		& L'utente deve poter avviare la navigazione & Interno UCS4.1 
RS0F18.1	& L'utente deve poter sospendere la navigazione già avviata & Interno UCS4.2 
RS0F18.2	& L'utente deve poter riprendere la navigazione precedentemente sospesa & Interno UCS4.3 
RS0F18.3	& L'utente deve poter terminare la navigazione precedentemente avviata o sospesa & Interno UCS4.4 
RS0F19		& L'utente deve poter visualizzare le informazioni di viaggio & Capitolato UCS5 
RS0F19.1	& L'utente deve poter visualizzare le coordinate geografiche della posizione in cui si trova & Interno UCS5.1 
RS0F19.2	& L'utente deve poter visualizzare l'altitudine a cui si trova & Interno UCS5.2 
RS0F19.3	& L'utente deve poter visualizzare la distanza percorsa dal momento in cui ha avviato la navigazione & Interno UCS5.3 
RS0F19.4	& L'utente deve poter visualizzare il tempo rimanente per raggiungere il POI selezionato & Interno UCS5.4 
RS0F20		& L'utente deve poter avviare la sincronizzazione tra smartwatch e cloud & Interno UCS6 
RS0F20.1	& L'applicazione smartwatch deve poter scaricare dal cloud le mappe preferite & Interno UCS6 
RS1F20.2	& L'applicazione smartwatch deve poter scaricare dal cloud le informazioni meteo riguardanti le mappe preferite & Interno UCS6 
RS0F20.3	& L'applicazione smartwatch deve poter caricare sul cloud le informazioni sui percorsi effettuati & Interno UCS6 
RS0F20.4		& L'applicazione smartwatch deve poter inviare lo stato di occupazione della sua memoria al cloud & Interno UCS6 
RS2F21		& L'utente deve poter visualizzare il proprio battito cardiaco & Capitolato UCS7 
RS2F22		& L'applicazione smartwatch deve poter comunicare con il dispositivo per il rilevamento dei battiti cardiaci & Interno UCS7 
RS0F23		& Il sistema registra in background il percorso effettuato, tracciando il segnale gps, il tempo trascorso e i battiti cardiaci se è presente la fascia cardiaca & Interno 
RC0F24		& L'utente deve poter chiudere la ricerca e tornare alla lista completa delle mappe & Interno UCC3.10 
RS1F25	& L'utente deve poter visualizzare un messaggio che indichi che il meteo non è aggiornato & Interno UCS8 
RS0F26	& L'utente deve poter visualizzare un avviso che lo avverta che non è disponibile alcun POI per mancanza di connessione GPS o perchè non si trova in un percorso di hiking della mappa selezionata  & Interno UCS10 
RC0F27		& Il sistema garantisce la persistenza della scelta effettuata dall'utente riguardo le mappe preferite & Interno 
RC0F28		& Il sistema è in grado di gestire gli errori riguardanti l'inserimento dei dati da parte dell'utente riportando il sistema ad uno stato consistente & Interno 
RC0F29		& Il sistema garantisce la persistenza delle informazioni registrate dallo smartwatch & Interno 
RC0F30		& Il sistema garantisce che un seriale possa essere univocamente associato ad una sola utenza & Interno 
RC0F31		& L'utente deve poter selezionare una mappa dall'elenco completo delle mappe o dal risultato di ricerca di una mappa & Interno UCC3.3 
RC0F32		& L'utente deve poter visualizzare la mappa precedentemente selezionata & Interno UCC3.4 
RC0F33		& L'utente deve poter visualizzare la memoria disponibile del dispositivo smartwatch & Interno UCC3.9 
RC0F46		& L'utente deve poter visualizzare un messaggio che indichi che la memoria è insufficiente per scaricare tutti i dati da sincronizzare & Interno UCS9 
